PageValues,Month,VisitorType,ExitRates,ProductRelated_Duration,Administrative,ProductRelated,SpecialDay,Administrative_Duration,Informational_Duration,TrafficType,Informational,OperatingSystems,Weekend,Browser,Region,Revenue
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,1,0,1,0,1,1,0
0.0,2,2,0.1,64.0,0,2,0.0,0.0,0.0,2,0,2,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,4,0,1,9,0
0.0,2,2,0.14,2.666666667,0,2,0.0,0.0,0.0,4,0,3,0,2,2,0
0.0,2,2,0.05,627.5,0,10,0.0,0.0,0.0,4,0,3,1,3,1,0
0.0,2,2,0.024561404,154.2166667,0,19,0.0,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.4,0.0,0.0,3,0,2,0,4,3,0
0.0,2,2,0.2,0.0,1,0,0.0,0.0,0.0,5,0,1,1,2,1,0
0.0,2,2,0.1,37.0,0,2,0.8,0.0,0.0,3,0,2,0,2,2,0
0.0,2,2,0.022222222,738.0,0,3,0.4,0.0,0.0,2,0,2,0,4,1,0
0.0,2,2,0.066666667,395.0,0,3,0.0,0.0,0.0,3,0,1,0,1,3,0
0.0,2,2,0.025833333,407.75,0,16,0.4,0.0,0.0,3,0,1,0,1,4,0
0.0,2,2,0.028571429,280.5,0,7,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.066666667,98.0,0,6,0.0,0.0,0.0,3,0,2,0,5,1,0
0.0,2,2,0.1,68.0,0,2,0.0,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.016312636,1668.285119,2,23,0.0,53.0,0.0,3,0,1,0,1,9,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,1,0,1,4,0
0.0,2,2,0.007692308,334.9666667,0,13,0.0,0.0,0.0,4,0,1,1,1,1,0
0.0,2,2,0.1,32.0,0,2,0.0,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.01,2981.166667,0,20,0.0,0.0,0.0,4,0,2,0,4,4,0
0.0,2,2,0.008333333,136.1666667,0,8,1.0,0.0,0.0,1,0,2,1,2,5,0
0.0,2,2,0.2,0.0,0,2,0.0,0.0,0.0,3,0,3,0,3,1,0
0.0,2,2,0.033333333,105.0,0,3,0.0,0.0,0.0,5,0,3,0,2,1,0
0.0,2,2,0.1,15.0,0,2,0.8,0.0,0.0,3,0,2,0,4,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,1,0,2,1,2,4,0
0.0,2,2,0.04,156.0,0,5,0.0,0.0,0.0,3,0,1,0,1,9,0
0.0,2,2,0.00952381,1135.444444,4,32,0.0,64.6,0.0,3,0,2,0,2,1,0
0.0,2,2,0.1,76.0,0,4,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.05,63.0,0,4,0.2,0.0,0.0,3,0,2,0,6,1,0
54.17976426,2,2,0.050821256,1582.75,1,45,0.4,6.0,0.0,1,1,3,0,2,1,0
0.0,2,2,0.1,35.0,0,2,0.0,0.0,0.0,3,0,1,0,1,6,0
0.0,2,2,0.066666667,78.0,0,3,0.0,0.0,0.0,6,0,1,1,2,6,0
0.0,2,2,0.025,209.5,0,8,0.0,0.0,0.0,1,0,2,0,2,1,0
0.0,2,2,0.08,183.6666667,0,10,0.0,0.0,0.0,1,0,1,0,1,3,0
0.0,2,2,0.028571429,380.5,0,14,0.0,0.0,0.0,1,0,2,0,2,1,0
0.0,2,2,0.020352564,2086.242857,0,52,0.0,0.0,0.0,1,0,2,0,2,7,0
0.0,2,2,0.05625,388.0,0,8,0.0,0.0,0.0,4,0,3,1,2,1,0
0.0,2,2,0.028571429,298.0,2,5,0.8,18.0,0.0,4,0,2,0,2,8,0
0.0,2,2,0.071428571,63.0,0,7,0.6,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.022222222,482.0,0,9,0.0,0.0,0.0,6,0,2,0,5,1,0
0.0,2,2,0.001794872,4084.393939,1,46,0.0,9.0,0.0,4,0,2,0,2,8,0
0.0,2,2,0.066666667,22.0,0,3,0.6,0.0,0.0,2,0,1,0,1,3,0
0.0,2,2,0.006666667,310.1666667,0,15,0.0,0.0,0.0,4,0,1,0,1,4,0
0.0,2,2,0.05,34.0,0,2,0.4,0.0,0.0,3,0,3,0,2,2,0
0.0,2,2,0.05,88.0,0,4,0.0,0.0,0.0,3,0,4,0,1,1,0
0.0,2,2,0.006060606,622.25,0,22,0.2,0.0,0.0,4,0,2,0,5,1,0
0.0,2,2,0.057142857,222.4,0,14,0.0,0.0,0.0,2,0,1,0,1,1,0
0.0,2,2,0.133333333,80.0,0,3,0.2,0.0,0.0,3,0,3,0,2,1,0
0.0,2,2,0.003636364,800.8333333,0,11,0.0,0.0,0.0,3,0,3,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.6,0.0,0.0,2,0,2,0,2,3,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,4,0,1,1,1,3,0
0.0,2,2,0.026111111,265.1666667,0,12,0.2,0.0,0.0,3,0,3,0,2,1,0
0.0,2,2,0.1,29.0,0,2,1.0,0.0,0.0,2,0,2,1,4,4,0
0.0,2,2,0.075,160.0,0,4,0.0,0.0,0.0,3,0,4,0,2,2,0
0.0,2,2,0.025,135.6666667,0,4,0.4,0.0,0.0,4,0,3,0,3,1,0
0.0,2,2,0.2,0.0,0,1,0.2,0.0,0.0,3,0,2,0,4,1,0
0.0,2,2,0.2,0.0,0,1,0.6,0.0,0.0,3,0,3,0,2,3,0
19.44707913,2,2,0.014736467,998.7416667,4,36,0.2,56.0,120.0,1,2,2,0,2,4,0
0.0,2,2,0.05,104.0,0,4,0.4,0.0,0.0,3,0,2,0,6,6,0
0.0,2,2,0.046568627,381.6865079,2,16,0.6,16.0,0.0,1,0,2,0,4,2,0
0.0,2,2,0.016666667,169.0,0,6,0.4,0.0,0.0,3,0,1,0,1,3,0
